CD_MUN,MUN,AR_TER_km2,POP_EST,DENS_DEM,ESC,IDHM,MORT_INF,PIB_P_CAP,MD_CIR_G,MD_CLIN,MD_GIN_OBS,MD_FAM,MD_PED,MD_GERI,MD_URO,AS_SOC,ENF,FISIO,FONO,NUTRI,ODONTO,PSICO,PSIQ,POSTO,CS_UBS,POLICL,HOSP_GER,HOSP_ESP,PRT_SOC,PRT_ESP
1200104,Brasiléia,3928.174,27123,5.46,90.2,614,16.67,16165.25,2.0,21.0,2.0,0.0,0.0,0.0,0.0,8.0,43.0,7.0,0.0,3.0,6.0,8.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0
1200138,Bujari,3034.869,10572,2.79,91.1,589,12.16,15606.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
1200179,Capixaba,1705.824,12280,5.17,92.6,575,24.365,14874.52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
1200203,Cruzeiro do Sul,8783.47,89760,8.94,94.9,664,17.14,16261.39,1.0,63.0,9.0,0.0,5.0,0.0,0.0,26.0,142.0,39.0,6.0,11.0,15.0,16.0,1.0,10.0,26.0,2.0,2.0,2.0,0.0,0.0
1200252,Epitaciolândia,1652.674,18979,9.13,93.7,653,12.74,25349.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
1200302,Feijó,27976.874,34986,1.16,82.9,539,35.59,10500.72,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0
1200328,Jordão,5357.227,8628,1.23,71.3,469,9.17,9428.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1200336,Mâncio Lima,5451.617,19643,2.79,94.9,625,26.09,10629.45,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0
1200344,Manoel Urbano,10630.6,9701,0.75,78,551,43.48,13389.93,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1200351,Marechal Thaumaturgo,8190.953,19727,1.74,90.8,501,20.09,10462.83,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
1200385,Plácido de Castro,1952.555,20147,8.86,93.6,622,6.29,12926.47,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0
1200393,Porto Walter,6446.385,12497,1.42,93.3,532,22.22,9569.61,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
1200401,Rio Branco,8835.154,419452,38.03,95.1,727,11.07,22287.7,21.0,272.0,29.0,0.0,60.0,1.0,1.0,88.0,638.0,167.0,46.0,68.0,200.0,131.0,10.0,0.0,66.0,9.0,9.0,4.0,0.0,0.0
1200427,Rodrigues Alves,3076.342,19767,4.68,94.6,567,41.92,9973.26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
1200435,Santa Rosa do Purus,6155.858,6893,0.76,63.8,517,37.63,11233.49,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
1200450,Senador Guiomard,2320.169,23446,8.69,95.6,0.64,9.59,16360.61,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,2.0,0.0,1.0,1.0,1.0,0.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0
1200500,Sena Madureira,23759.512,47168,1.6,85.4,603,13.02,11475.22,0.0,8.0,1.0,0.0,0.0,0.0,0.0,7.0,26.0,5.0,1.0,2.0,3.0,5.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0
1200609,Tarauacá,20169.485,43730,1.76,85.6,539,21.87,11645.35,0.0,12.0,0.0,0.0,1.0,0.0,0.0,3.0,18.0,3.0,2.0,4.0,6.0,3.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0
1200708,Xapuri,5350.586,19866,3.01,87.7,599,13.47,12553.21,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
1200807,Porto Acre,2604.417,19141,5.71,90.4,576,7.92,12855.64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
1300029,Alvarães,5923.461,16396,2.38,75.3,527,16.75,10707.18,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0
1300060,Amaturá,4754.109,11934,1.99,86.3,0.56,18.87,7332.4,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,15.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
1300086,Anamã,2446.121,14292,4.16,93.6,594,15.79,8767.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,1.0,0.0,4.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0
1300102,Anori,6036.38,21937,2.82,84.9,561,21.46,10626.79,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0
1300144,Apuí,54240.545,22739,0.33,93.4,637,20.92,9730.42,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,5.0,1.0,1.0,0.0,2.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0
1300201,Atalaia do Norte,76435.093,20868,0.2,65.5,0.45,31.95,7330,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
1300300,Autazes,7652.852,41005,4.23,94.6,577,5.73,9196.44,1.0,9.0,0.0,0.0,1.0,0.0,0.0,7.0,16.0,4.0,2.0,4.0,4.0,6.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0
1300409,Barcelos,122461.086,27772,0.21,64.7,0.5,32.37,6145.96,0.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,6.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
1300508,Barreirinha,5751.765,32919,4.76,97.5,574,17.5,8192.42,0.0,7.0,0.0,0.0,1.0,0.0,0.0,4.0,40.0,10.0,0.0,1.0,3.0,2.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0
1300607,Benjamin Constant,8695.391,44873,3.8,89.6,574,21.36,7346.07,1.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,4.0,1.0,2.0,10.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0
1300631,Beruri,17472.779,20503,0.9,90.4,506,7.62,7868.69,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
1300680,Boa Vista do Ramos,2589.407,20040,5.79,95.9,565,27.27,7438.55,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,11.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
1300706,Boca do Acre,21938.583,34958,1.4,88,588,5.52,12248.29,1.0,12.0,1.0,0.0,1.0,0.0,0.0,3.0,24.0,17.0,2.0,1.0,8.0,9.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0
1300805,Borba,44236.184,42328,0.79,91.2,0.56,17.04,7487.09,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,34.0,8.0,1.0,3.0,2.0,4.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0
1300839,Caapiranga,9455.539,13482,1.16,89.4,569,35.5,12138.88,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
1300904,Canutama,33642.732,15981,0.43,87.6,0.53,46.88,6965.24,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
1301001,Carauari,25778.658,28719,1,90.2,549,12.6,10911.1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0,6.0,0.0,2.0,0.0,3.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0
1301100,Careiro,6096.21,38820,5.37,88.6,557,7.09,8414.97,1.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,35.0,8.0,1.0,1.0,1.0,2.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0
1301159,Careiro da Várzea,2627.474,31459,9.09,94.8,568,15.15,11396.04,0.0,5.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,2.0,7.0,3.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0
1301209,Coari,57970.768,86713,1.31,86.8,586,16.49,23921.53,2.0,15.0,5.0,0.0,2.0,0.0,0.0,19.0,48.0,15.0,3.0,9.0,1.0,5.0,1.0,0.0,14.0,5.0,1.0,0.0,0.0,0.0
1301308,Codajás,18700.713,29691,1.24,83.7,563,19.23,17818.34,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,4.0,1.0,1.0,0.0,2.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0
1301407,Eirunepé,14966.242,36121,2.04,90.7,563,30.3,14854.89,1.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,29.0,5.0,0.0,3.0,3.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0
1301506,Envira,7505.794,20748,2.18,83.9,509,30.69,8007.74,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
1301605,Fonte Boa,12155.427,16409,1.88,84.8,0.53,19,9929.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,2.0,1.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
1301654,Guajará,7583.534,17193,1.84,93.1,532,14.04,7528.77,1.0,4.0,1.0,0.0,1.0,0.0,0.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
1301704,Humaitá,33111.143,57195,1.34,90.4,605,11.25,11521.07,5.0,16.0,1.0,0.0,2.0,0.0,1.0,8.0,44.0,13.0,4.0,6.0,10.0,7.0,1.0,0.0,12.0,4.0,1.0,0.0,0.0,0.0
1301803,Ipixuna,12109.779,31172,1.85,65.4,481,23.94,5263.41,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,3.0,1.0,2.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0
1301852,Iranduba,2216.817,49718,18.42,93.4,613,11.75,14276.35,2.0,7.0,1.0,0.0,0.0,0.0,0.0,19.0,32.0,16.0,7.0,12.0,9.0,12.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0
1301902,Itacoatiara,8891.906,104046,9.77,95.1,644,18.68,18818.5,3.0,24.0,4.0,5.0,6.0,0.0,0.0,27.0,75.0,23.0,4.0,3.0,8.0,15.0,0.0,0.0,15.0,3.0,1.0,0.0,0.0,0.0
1301951,Itamarati,25260.429,7777,0.32,81,477,28.34,12064.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
1302009,Itapiranga,4335.075,9312,1.94,95.1,654,23.12,12126.8,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
