MUN;Nao;Total
261090 PESQUEIRA;914;927
261100 PETROLANDIA;649;661
261110 PETROLINA;6118;6205
261120 POCAO;164;164
261130 POMBOS;374;377
261140 PRIMAVERA;169;170
261150 QUIPAPA;238;239
261153 QUIXABA;111;111
261160 RECIFE;19268;19547
261170 RIACHO DAS ALMAS;344;348
261180 RIBEIRAO;450;457
261190 RIO FORMOSO;322;326
261200 SAIRE;130;132
261210 SALGADINHO;73;74
261220 SALGUEIRO;1018;1028
261230 SALOA;184;186
261240 SANHARO;289;295
261245 SANTA CRUZ;213;213
261247 SANTA CRUZ DA BAIXA VERDE;153;155
261250 SANTA CRUZ DO CAPIBARIBE;1346;1366
261255 SANTA FILOMENA;168;169
261260 SANTA MARIA DA BOA VISTA;700;709
261270 SANTA MARIA DO CAMBUCA;195;199
261280 SANTA TEREZINHA;101;103
261290 SAO BENEDITO DO SUL;154;156
261300 SAO BENTO DO UNA;788;795
261310 SAO CAITANO;507;513
261320 SAO JOAO;313;319
261330 SAO JOAQUIM DO MONTE;302;306
261340 SAO JOSE DA COROA GRANDE;268;271
261350 SAO JOSE DO BELMONTE;525;527
261360 SAO JOSE DO EGITO;397;400
261370 SAO LOURENCO DA MATA;1494;1520
261380 SAO VICENTE FERRER;247;251
261390 SERRA TALHADA;1514;1524
261400 SERRITA;268;269
261410 SERTANIA;445;450
261420 SIRINHAEM;546;556
261430 MOREILANDIA;118;119
261440 SOLIDAO;95;97
261450 SURUBIM;854;861
261460 TABIRA;418;426
261470 TACAIMBO;189;191
261480 TACARATU;289;302
261485 TAMANDARE;409;416
261500 TAQUARITINGA DO NORTE;344;348
261510 TEREZINHA;84;87
261520 TERRA NOVA;110;112
261530 TIMBAUBA;627;634
261540 TORITAMA;697;710
261550 TRACUNHAEM;201;203
261560 TRINDADE;586;594
261570 TRIUNFO;173;175
261580 TUPANATINGA;286;296
261590 TUPARETAMA;133;134
261600 VENTUROSA;258;262
261610 VERDEJANTE;142;145
261618 VERTENTE DO LERIO;114;114
261620 VERTENTES;296;300
261630 VICENCIA;383;389
261640 VITORIA DE SANTO ANTAO;1911;1929
261650 XEXEU;210;213
270010 AGUA BRANCA;263;272
270020 ANADIA;201;204
270030 ARAPIRACA;3955;3964
270040 ATALAIA;553;562
270050 BARRA DE SANTO ANTONIO;285;290
270060 BARRA DE SAO MIGUEL;137;139
270070 BATALHA;250;251
270080 BELEM;90;90
270090 BELO MONTE;91;91
270100 BOCA DA MATA;282;288
270110 BRANQUINHA;172;173
270120 CACIMBINHAS;160;161
270130 CAJUEIRO;297;305
270135 CAMPESTRE;101;102
270140 CAMPO ALEGRE;513;522
270150 CAMPO GRANDE;123;125
270160 CANAPI;256;259
270170 CAPELA;216;221
270180 CARNEIROS;153;155
270190 CHA PRETA;81;89
270200 COITE DO NOIA;150;150
270210 COLONIA LEOPOLDINA;283;285
270220 COQUEIRO SECO;74;76
270230 CORURIPE;820;821
270235 CRAIBAS;418;420
270240 DELMIRO GOUVEIA;748;778
270250 DOIS RIACHOS;146;147
270255 ESTRELA DE ALAGOAS;200;202
270260 FEIRA GRANDE;322;323
270270 FELIZ DESERTO;79;80
270280 FLEXEIRAS;173;176
270290 GIRAU DO PONCIANO;573;575
270300 IBATEGUARA;271;272
270310 IGACI;314;314
270320 IGREJA NOVA;294;298
270330 INHAPI;270;275
270340 JACARE DOS HOMENS;80;81
270350 JACUIPE;69;69
270360 JAPARATINGA;129;130
270370 JARAMATAIA;89;89
270375 JEQUIA DA PRAIA;134;134
270380 JOAQUIM GOMES;285;300
270390 JUNDIA;59;59
270400 JUNQUEIRO;343;348
270410 LAGOA DA CANOA;316;318
270420 LIMOEIRO DE ANADIA;344;344
270430 MACEIO;13538;13710
270440 MAJOR ISIDORO;261;263
270450 MARAGOGI;586;591
270460 MARAVILHA;144;147
270470 MARECHAL DEODORO;897;912
270480 MARIBONDO;164;165
270490 MAR VERMELHO;39;42
270500 MATA GRANDE;303;321
270510 MATRIZ DE CAMARAGIBE;363;373
270520 MESSIAS;296;297
270530 MINADOR DO NEGRAO;60;60
270540 MONTEIROPOLIS;101;104
270550 MURICI;428;430
270560 NOVO LINO;131;135
270570 OLHO D'AGUA DAS FLORES;352;357
270580 OLHO D'AGUA DO CASADO;144;147
270590 OLHO D'AGUA GRANDE;67;67
270600 OLIVENCA;178;182
270610 OURO BRANCO;180;181
270620 PALESTINA;77;78
270630 PALMEIRA DOS INDIOS;1262;1271
270640 PAO DE ACUCAR;349;353
270642 PARICONHA;137;143
270644 PARIPUEIRA;238;242
270650 PASSO DE CAMARAGIBE;205;208
270660 PAULO JACINTO;86;86
270670 PENEDO;927;930
270680 PIACABUCU;275;277
270690 PILAR;589;601
270700 PINDOBA;35;36
270710 PIRANHAS;379;382
270720 POCO DAS TRINCHEIRAS;218;221
270730 PORTO CALVO;351;359
270740 PORTO DE PEDRAS;131;133
270750 PORTO REAL DO COLEGIO;255;265
270760 QUEBRANGULO;201;201
270770 RIO LARGO;1304;1313
270780 ROTEIRO;125;127
270790 SANTA LUZIA DO NORTE;116;118
270800 SANTANA DO IPANEMA;822;831
270810 SANTANA DO MUNDAU;172;172
270820 SAO BRAS;82;85
270830 SAO JOSE DA LAJE;352;353
270840 SAO JOSE DA TAPERA;545;554
270850 SAO LUIS DO QUITUNDE;443;452
270860 SAO MIGUEL DOS CAMPOS;791;799
270870 SAO MIGUEL DOS MILAGRES;140;145
270880 SAO SEBASTIAO;492;497
270890 SATUBA;332;338
270895 SENADOR RUI PALMEIRA;175;177
270900 TANQUE D'ARCA;70;70
270910 TAQUARANA;280;281
270915 TEOTONIO VILELA;619;623
270920 TRAIPU;332;335
270930 UNIAO DOS PALMARES;1083;1089
270940 VICOSA;367;385
280010 AMPARO DE SAO FRANCISCO;44;44
280020 AQUIDABA;224;231
280030 ARACAJU;8151;8256
280040 ARAUA;143;145
280050 AREIA BRANCA;249;251
280060 BARRA DOS COQUEIROS;530;534
280067 BOQUIM;307;314
280070 BREJO GRANDE;155;166
280100 CAMPO DO BRITO;225;230
280110 CANHOBA;69;72
280120 CANINDE DE SAO FRANCISCO;500;509
280130 CAPELA;520;533
280140 CARIRA;260;265
280150 CARMOPOLIS;218;222
280160 CEDRO DE SAO JOAO;61;64
280170 CRISTINAPOLIS;298;302
280190 CUMBE;45;45
280200 DIVINA PASTORA;71;72
280210 ESTANCIA;1064;1082
280220 FEIRA NOVA;93;97
280230 FREI PAULO;216;216
280240 GARARU;113;120
280250 GENERAL MAYNARD;27;28
280260 GRACHO CARDOSO;62;63
280270 ILHA DAS FLORES;142;144
280280 INDIAROBA;277;283
280290 ITABAIANA;1320;1338
280300 ITABAIANINHA;545;553
280310 ITABI;55;57
280320 ITAPORANGA D'AJUDA;537;540
280330 JAPARATUBA;210;215
280340 JAPOATA;209;216
280350 LAGARTO;1464;1476
280360 LARANJEIRAS;433;439
280370 MACAMBIRA;85;86
280380 MALHADA DOS BOIS;66;71
280390 MALHADOR;161;163
280400 MARUIM;246;248
280410 MOITA BONITA;127;127
280420 MONTE ALEGRE DE SERGIPE;244;248
280430 MURIBECA;114;117
280440 NEOPOLIS;204;212
280445 NOSSA SENHORA APARECIDA;98;98
280450 NOSSA SENHORA DA GLORIA;596;604
280460 NOSSA SENHORA DAS DORES;322;331
280470 NOSSA SENHORA DE LOURDES;63;67
280480 NOSSA SENHORA DO SOCORRO;2958;3032
280490 PACATUBA;204;211
280500 PEDRA MOLE;39;41
280510 PEDRINHAS;112;112
280520 PINHAO;72;74
280530 PIRAMBU;141;142
280540 POCO REDONDO;517;532
280550 POCO VERDE;260;263
280560 PORTO DA FOLHA;383;388
280570 PROPRIA;410;432
280580 RIACHAO DO DANTAS;228;230
280590 RIACHUELO;143;146
280600 RIBEIROPOLIS;189;195
280610 ROSARIO DO CATETE;166;167
280620 SALGADO;254;259
280630 SANTA LUZIA DO ITANHY;204;207
280640 SANTANA DO SAO FRANCISCO;108;116
280650 SANTA ROSA DE LIMA;66;68
280660 SANTO AMARO DAS BROTAS;155;156
280670 SAO CRISTOVAO;1252;1272
280680 SAO DOMINGOS;112;114
280690 SAO FRANCISCO;51;54
280700 SAO MIGUEL DO ALEIXO;53;54
280710 SIMAO DIAS;601;610
280720 SIRIRI;110;112
280730 TELHA;46;47
280740 TOBIAS BARRETO;676;681
280750 TOMAR DO GERU;151;155
280760 UMBAUBA;416;420
290010 ABAIRA;45;46
290020 ABARE;302;318
290030 ACAJUTIBA;155;159
290035 ADUSTINA;141;143
290040 AGUA FRIA;125;127
290050 ERICO CARDOSO;108;108
290060 AIQUARA;44;44
290070 ALAGOINHAS;2104;2136
290080 ALCOBACA;327;333
290090 ALMADINA;59;59
290100 AMARGOSA;454;459
290110 AMELIA RODRIGUES;168;175
290115 AMERICA DOURADA;200;209
290120 ANAGE;234;241
290130 ANDARAI;178;180
290135 ANDORINHA;172;177
290140 ANGICAL;183;184
290150 ANGUERA;50;53
290160 ANTAS;152;153
290170 ANTONIO CARDOSO;136;141
290180 ANTONIO GONCALVES;160;160
290190 APORA;167;169
290195 APUAREMA;103;103
290200 ARACATU;154;158
290205 ARACAS;150;151
290210 ARACI;659;661
290220 ARAMARI;100;100
290225 ARATACA;138;139
290230 ARATUIPE;133;135
290240 AURELINO LEAL;186;190
290250 BAIANOPOLIS;184;186
290260 BAIXA GRANDE;199;204
290265 BANZAE;160;161
290270 BARRA;827;834
290280 BARRA DA ESTIVA;413;421
290290 BARRA DO CHOCA;521;540
290300 BARRA DO MENDES;144;148
290310 BARRA DO ROCHA;59;59
290320 BARREIRAS;2513;2545
290323 BARRO ALTO;154;156
290327 BARROCAS;168;170
290330 BARRO PRETO;61;61
290340 BELMONTE;315;316
290350 BELO CAMPO;214;219
290360 BIRITINGA;202;214
290370 BOA NOVA;173;176
290380 BOA VISTA DO TUPIM;231;234
290390 BOM JESUS DA LAPA;675;1087
290395 BOM JESUS DA SERRA;123;125
290400 BONINAL;176;180
290405 BONITO;241;245
290410 BOQUIRA;246;247
290420 BOTUPORA;131;132
290430 BREJOES;138;139
290440 BREJOLANDIA;97;98
290450 BROTAS DE MACAUBAS;145;146
290460 BRUMADO;853;856
290470 BUERAREMA;199;202
290475 BURITIRAMA;306;310
290480 CAATIBA;65;66
290485 CABACEIRAS DO PARAGUACU;203;208
290490 CACHOEIRA;351;360
290500 CACULE;302;310
290510 CAEM;148;149
290515 CAETANOS;116;122
290520 CAETITE;672;676
290530 CAFARNAUM;240;241
290540 CAIRU;298;303
290550 CALDEIRAO GRANDE;189;191
290560 CAMACAN;345;345
290570 CAMACARI;3322;3893
290580 CAMAMU;566;570
290590 CAMPO ALEGRE DE LOURDES;515;516
290600 CAMPO FORMOSO;1104;1122
290610 CANAPOLIS;124;128
290620 CANARANA;290;306
290630 CANAVIEIRAS;421;431
290640 CANDEAL;60;62
290650 CANDEIAS;963;975
290660 CANDIBA;168;169
290670 CANDIDO SALES;332;341
290680 CANSANCAO;455;466
290682 CANUDOS;205;210
290685 CAPELA DO ALTO ALEGRE;102;103
290687 CAPIM GROSSO;433;447
290689 CARAIBAS;85;88
290690 CARAVELAS;260;267
290700 CARDEAL DA SILVA;104;108
290710 CARINHANHA;430;439
290720 CASA NOVA;975;985
290730 CASTRO ALVES;300;305
290740 CATOLANDIA;42;42
290750 CATU;456;467
290755 CATURAMA;82;83
290760 CENTRAL;198;202
290770 CHORROCHO;131;141
290780 CICERO DANTAS;310;315
290790 CIPO;265;274
290800 COARACI;187;195
290810 COCOS;256;274
290820 CONCEICAO DA FEIRA;232;238
290830 CONCEICAO DO ALMEIDA;160;161
290840 CONCEICAO DO COITE;956;971
290850 CONCEICAO DO JACUIPE;331;349
290860 CONDE;306;323
290870 CONDEUBA;201;212
290880 CONTENDAS DO SINCORA;41;42
290890 CORACAO DE MARIA;215;223
290900 CORDEIROS;79;80
290910 CORIBE;147;148
290920 CORONEL JOAO SA;203;203
290930 CORRENTINA;403;421
290940 COTEGIPE;169;172
290950 CRAVOLANDIA;70;73
290960 CRISOPOLIS;225;226
290970 CRISTOPOLIS;163;168
290980 CRUZ DAS ALMAS;770;786
290990 CURACA;548;551
291000 DARIO MEIRA;135;136
291005 DIAS D'AVILA;1026;1046
291010 DOM BASILIO;121;122
291020 DOM MACEDO COSTA;52;52
291030 ELISIO MEDRADO;82;84
291040 ENCRUZILHADA;263;273
291050 ENTRE RIOS;480;510
291060 ESPLANADA;489;497
291070 EUCLIDES DA CUNHA;811;824
291072 EUNAPOLIS;1801;1809
291075 FATIMA;213;213
291077 FEIRA DA MATA;57;60
291080 FEIRA DE SANTANA;9218;9465
291085 FILADELFIA;228;233
291090 FIRMINO ALVES;49;50
291100 FLORESTA AZUL;90;90
291110 FORMOSA DO RIO PRETO;418;424
291120 GANDU;423;429
291125 GAVIAO;46;47
291130 GENTIO DO OURO;141;141
291140 GLORIA;180;223
291150 GONGOGI;68;70
291160 GOVERNADOR MANGABEIRA;274;278
291165 GUAJERU;62;63
291170 GUANAMBI;1225;1265
291180 GUARATINGA;217;220
291185 HELIOPOLIS;132;132
291190 IACU;331;334
291200 IBIASSUCE;96;98
291210 IBICARAI;227;229
291220 IBICOARA;315;322
291230 IBICUI;150;151
291240 IBIPEBA;195;197
291250 IBIPITANGA;139;140
291260 IBIQUERA;57;57
291270 IBIRAPITANGA;327;331
291280 IBIRAPUA;122;126
291290 IBIRATAIA;230;233
291300 IBITIARA;132;136
291310 IBITITA;212;215
291320 IBOTIRAMA;401;404
291330 ICHU;39;39
291340 IGAPORA;131;134
291345 IGRAPIUNA;177;180
291350 IGUAI;364;364
291360 ILHEUS;2251;2281
291370 INHAMBUPE;397;405
291380 IPECAETA;120;123
291390 IPIAU;593;602
291400 IPIRA;688;695
291410 IPUPIARA;90;92
291420 IRAJUBA;65;65
291430 IRAMAIA;100;105
291440 IRAQUARA;365;367
291450 IRARA;290;296
291460 IRECE;1242;1259
291465 ITABELA;507;512
291470 ITABERABA;842;848
291480 ITABUNA;2324;2333
291490 ITACARE;400;409
291500 ITAETE;195;197
291510 ITAGI;200;202
291520 ITAGIBA;148;152
291530 ITAGIMIRIM;54;54
291535 ITAGUACU DA BAHIA;178;180
291540 ITAJU DO COLONIA;74;74
291550 ITAJUIPE;211;213
291560 ITAMARAJU;978;985
291570 ITAMARI;130;131
291580 ITAMBE;260;267
291590 ITANAGRA;93;94
291600 ITANHEM;185;187
291610 ITAPARICA;257;262
291620 ITAPE;113;113
291630 ITAPEBI;100;105
291640 ITAPETINGA;943;959
291650 ITAPICURU;322;322
291660 ITAPITANGA;72;72
291670 ITAQUARA;84;85
291680 ITARANTIM;199;207
291685 ITATIM;151;153
291690 ITIRUCU;138;139
291700 ITIUBA;507;511
291710 ITORORO;195;203
291720 ITUACU;196;203
291730 ITUBERA;290;293
291733 IUIU;131;131
291735 JABORANDI;124;139
291740 JACARACI;121;121
291750 JACOBINA;1283;1294
291760 JAGUAQUARA;673;679
291770 JAGUARARI;442;449
291780 JAGUARIPE;227;230
291790 JANDAIRA;140;143
291800 JEQUIE;2218;2240
291810 JEREMOABO;479;492
291820 JIQUIRICA;139;141
291830 JITAUNA;183;184
291835 JOAO DOURADO;403;404
291840 JUAZEIRO;4203;4263
291845 JUCURUCU;84;84
291850 JUSSARA;184;188
291855 JUSSARI;56;56
291860 JUSSIAPE;53;58
291870 LAFAIETE COUTINHO;55;56
291875 LAGOA REAL;133;135
291880 LAJE;262;267
291890 LAJEDAO;33;33
291900 LAJEDINHO;37;37
291905 LAJEDO DO TABOCAL;65;66
291910 LAMARAO;87;87
291915 LAPAO;354;355
291920 LAURO DE FREITAS;2944;3013
291930 LENCOIS;133;137
291940 LICINIO DE ALMEIDA;154;156
291950 LIVRAMENTO DE NOSSA SENHORA;536;564
291955 LUIS EDUARDO MAGALHAES;2022;2035
291960 MACAJUBA;130;131
291970 MACARANI;180;192
291980 MACAUBAS;548;552
291990 MACURURE;92;97
291992 MADRE DE DEUS;253;254
291995 MAETINGA;79;83
292000 MAIQUINIQUE;110;112
292010 MAIRI;178;210
292020 MALHADA;173;174
292030 MALHADA DE PEDRAS;104;104
292040 MANOEL VITORINO;177;178
292045 MANSIDAO;88;89
292050 MARACAS;287;288
292060 MARAGOGIPE;419;424
292070 MARAU;284;291
292080 MARCIONILIO SOUZA;106;109
292090 MASCOTE;123;123
292100 MATA DE SAO JOAO;680;756
292105 MATINA;130;132
292110 MEDEIROS NETO;282;285
292120 MIGUEL CALMON;363;370
292130 MILAGRES;129;130
292140 MIRANGABA;181;182
292145 MIRANTE;91;93
292150 MONTE SANTO;618;640
292160 MORPARA;101;103
292170 MORRO DO CHAPEU;469;473
292180 MORTUGABA;124;124
292190 MUCUGE;127;129
292200 MUCURI;637;641
292205 MULUNGU DO MORRO;181;181
292210 MUNDO NOVO;179;181
292220 MUNIZ FERREIRA;70;71
292225 MUQUEM DE SAO FRANCISCO;173;177
292230 MURITIBA;303;307
292240 MUTUIPE;249;252
292250 NAZARE;281;283
292260 NILO PECANHA;160;167
292265 NORDESTINA;151;164
292270 NOVA CANAA;147;154
292273 NOVA FATIMA;67;68
292275 NOVA IBIA;44;44
292280 NOVA ITARANA;108;109
292285 NOVA REDENCAO;94;95
292290 NOVA SOURE;326;332
292300 NOVA VICOSA;431;433
292303 NOVO HORIZONTE;155;156
292305 NOVO TRIUNFO;106;107
292310 OLINDINA;279;282
292320 OLIVEIRA DOS BREJINHOS;239;246
292330 OURICANGAS;63;66
292335 OUROLANDIA;213;247
292340 PALMAS DE MONTE ALTO;233;237
292350 PALMEIRAS;150;151
292360 PARAMIRIM;238;239
292370 PARATINGA;396;425
292380 PARIPIRANGA;278;281
292390 PAU BRASIL;153;153
292400 PAULO AFONSO;1471;1749
292405 PE DE SERRA;148;148
292410 PEDRAO;73;76
292420 PEDRO ALEXANDRE;189;190
292430 PIATA;237;239
292440 PILAO ARCADO;602;604
292450 PINDAI;146;148
292460 PINDOBACU;261;262
292465 PINTADAS;71;72
292467 PIRAI DO NORTE;93;95
292470 PIRIPA;91;93
292480 PIRITIBA;169;205
292490 PLANALTINO;77;78
292500 PLANALTO;289;296
292510 POCOES;634;650
292520 POJUCA;413;418
292525 PONTO NOVO;256;257
292530 PORTO SEGURO;2729;2762
292540 POTIRAGUA;104;106
292550 PRADO;508;521
292560 PRESIDENTE DUTRA;143;149
292570 PRESIDENTE JANIO QUADROS;120;122
292575 PRESIDENTE TANCREDO NEVES;382;384
292580 QUEIMADAS;331;333
292590 QUIJINGUE;295;301
292593 QUIXABEIRA;96;98
292595 RAFAEL JAMBEIRO;206;213
292600 REMANSO;645;647
292610 RETIROLANDIA;174;175
292620 RIACHAO DAS NEVES;291;299
292630 RIACHAO DO JACUIPE;376;383
292640 RIACHO DE SANTANA;320;339
292650 RIBEIRA DO AMPARO;173;177
292660 RIBEIRA DO POMBAL;730;731
292665 RIBEIRAO DO LARGO;105;107
292670 RIO DE CONTAS;135;137
292680 RIO DO ANTONIO;128;130
292690 RIO DO PIRES;84;85
292700 RIO REAL;465;469
292710 RODELAS;159;184
292720 RUY BARBOSA;407;412
292730 SALINAS DA MARGARIDA;190;191
292740 SALVADOR;29644;30149
292750 SANTA BARBARA;226;230
292760 SANTA BRIGIDA;173;205
292770 SANTA CRUZ CABRALIA;449;453
292780 SANTA CRUZ DA VITORIA;58;58
292790 SANTA INES;103;103
292800 SANTALUZ;520;529
292805 SANTA LUZIA;158;161
292810 SANTA MARIA DA VITORIA;412;523
292820 SANTANA;298;302
292830 SANTANOPOLIS;53;55
292840 SANTA RITA DE CASSIA;383;386
292850 SANTA TERESINHA;124;148
292860 SANTO AMARO;513;578
292870 SANTO ANTONIO DE JESUS;1315;1320
292880 SANTO ESTEVAO;628;638
292890 SAO DESIDERIO;543;548
292895 SAO DOMINGOS;70;70
292900 SAO FELIX;148;155
292905 SAO FELIX DO CORIBE;231;250
292910 SAO FELIPE;211;212
292920 SAO FRANCISCO DO CONDE;559;563
292925 SAO GABRIEL;222;223
292930 SAO GONCALO DOS CAMPOS;334;341
292935 SAO JOSE DA VITORIA;81;82
292937 SAO JOSE DO JACUIPE;126;128
292940 SAO MIGUEL DAS MATAS;113;113
292950 SAO SEBASTIAO DO PASSE;438;456
292960 SAPEACU;209;210
292970 SATIRO DIAS;171;172
292975 SAUBARA;128;134
292980 SAUDE;108;109
292990 SEABRA;618;623
293000 SEBASTIAO LARANJEIRAS;81;82
293010 SENHOR DO BONFIM;1005;1010
293015 SERRA DO RAMALHO;449;565
293020 SENTO SE;495;499
293030 SERRA DOURADA;214;216
293040 SERRA PRETA;86;88
293050 SERRINHA;1135;1145
293060 SERROLANDIA;155;155
293070 SIMOES FILHO;1726;1749
293075 SITIO DO MATO;140;190
293076 SITIO DO QUINTO;136;137
293077 SOBRADINHO;422;433
293080 SOUTO SOARES;229;233
293090 TABOCAS DO BREJO VELHO;130;135
293100 TANHACU;248;253
293105 TANQUE NOVO;193;198
293110 TANQUINHO;74;74
293120 TAPEROA;211;215
293130 TAPIRAMUTA;238;243
293135 TEIXEIRA DE FREITAS;2519;2547
293140 TEODORO SAMPAIO;70;70
293150 TEOFILANDIA;261;263
293160 TEOLANDIA;178;178
293170 TERRA NOVA;107;108
293180 TREMEDAL;167;171
293190 TUCANO;543;567
293200 UAUA;333;337
293210 UBAIRA;194;199
293220 UBAITABA;249;255
293230 UBATA;203;204
293240 UIBAI;146;149
293245 UMBURANAS;206;207
293250 UNA;223;237
293260 URANDI;158;163
293270 URUCUCA;289;297
293280 UTINGA;219;221
293290 VALENCA;1362;1371
293300 VALENTE;258;263
293305 VARZEA DA ROCA;113;120
293310 VARZEA DO POCO;86;88
293315 VARZEA NOVA;171;174
293317 VARZEDO;99;99
293320 VERA CRUZ;531;552
293325 VEREDA;70;70
293330 VITORIA DA CONQUISTA;5006;5174
293340 WAGNER;98;99
293345 WANDERLEY;162;164
293350 WENCESLAU GUIMARAES;295;296
293360 XIQUE-XIQUE;849;856
310010 ABADIA DOS DOURADOS;61;61
310020 ABAETE;247;249
310030 ABRE CAMPO;158;158
310040 ACAIACA;51;51
310050 ACUCENA;93;94
310060 AGUA BOA;169;170
310070 AGUA COMPRIDA;25;25
310080 AGUANIL;38;38
310090 AGUAS FORMOSAS;256;258
310100 AGUAS VERMELHAS;157;159
310110 AIMORES;329;331
310120 AIURUOCA;50;51
310130 ALAGOA;25;25
310140 ALBERTINA;20;20
310150 ALEM PARAIBA;355;362
310160 ALFENAS;983;990
310163 ALFREDO VASCONCELOS;90;90
310170 ALMENARA;537;541
310180 ALPERCATA;93;94
310190 ALPINOPOLIS;225;225
310200 ALTEROSA;161;163
310205 ALTO CAPARAO;74;77
310210 ALTO RIO DOCE;96;97
310220 ALVARENGA;54;56
310230 ALVINOPOLIS;117;149
310240 ALVORADA DE MINAS;61;62
310250 AMPARO DO SERRA;48;48
310260 ANDRADAS;473;473
310270 CACHOEIRA DE PAJEU;76;77
310280 ANDRELANDIA;114;115
310285 ANGELANDIA;99;105
310290 ANTONIO CARLOS;114;114
310300 ANTONIO DIAS;106;114
310310 ANTONIO PRADO DE MINAS;2;9
310320 ARACAI;24;24
310330 ARACITABA;8;17
310340 ARACUAI;394;399
310350 ARAGUARI;1310;1330
310360 ARANTINA;30;30
310370 ARAPONGA;103;103
310375 ARAPORA;127;128
310380 ARAPUA;15;16
310390 ARAUJOS;102;103
310400 ARAXA;1475;1489
310410 ARCEBURGO;67;69
310420 ARCOS;490;497
310430 AREADO;146;147
310440 ARGIRITA;32;34
310445 ARICANDUVA;66;70
310450 ARINOS;191;193
310460 ASTOLFO DUTRA;124;127
310470 ATALEIA;115;116
310480 AUGUSTO DE LIMA;39;39
310490 BAEPENDI;201;203
310500 BALDIM;64;64
310510 BAMBUI;256;260
310520 BANDEIRA;50;51
310530 BANDEIRA DO SUL;74;75
310540 BARAO DE COCAIS;233;351
310550 BARAO DE MONTE ALTO;3;37
310560 BARBACENA;1397;1407
310570 BARRA LONGA;53;54
310590 BARROSO;205;214
310600 BELA VISTA DE MINAS;10;98
310610 BELMIRO BRAGA;27;27
310620 BELO HORIZONTE;26030;26281
310630 BELO ORIENTE;285;299
310640 BELO VALE;102;104
310650 BERILO;75;75
310660 BERTOPOLIS;73;74
310665 BERIZAL;56;56
310670 BETIM;5609;5697
310680 BIAS FORTES;36;38
310690 BICAS;141;143
310700 BIQUINHAS;20;20
310710 BOA ESPERANCA;400;514
310720 BOCAINA DE MINAS;34;35
310730 BOCAIUVA;584;620
310740 BOM DESPACHO;690;700
310750 BOM JARDIM DE MINAS;57;57
310760 BOM JESUS DA PENHA;40;40
310770 BOM JESUS DO AMPARO;69;69
310780 BOM JESUS DO GALHO;160;162
310790 BOM REPOUSO;134;139
310800 BOM SUCESSO;144;146
310810 BONFIM;39;39
310820 BONFINOPOLIS DE MINAS;24;60
310825 BONITO DE MINAS;112;116
310830 BORDA DA MATA;145;147
310840 BOTELHOS;135;136
310850 BOTUMIRIM;52;62
310855 BRASILANDIA DE MINAS;232;236
310860 BRASILIA DE MINAS;493;500
310870 BRAS PIRES;30;31
310880 BRAUNAS;53;54
310890 BRAZOPOLIS;152;152
310900 BRUMADINHO;429;439
310910 BUENO BRANDAO;84;88
310920 BUENOPOLIS;106;106
310925 BUGRE;27;27
310930 BURITIS;368;376
310940 BURITIZEIRO;308;314
310945 CABECEIRA GRANDE;65;66
310950 CABO VERDE;130;130
310960 CACHOEIRA DA PRATA;27;28
310970 CACHOEIRA DE MINAS;128;132
310980 CACHOEIRA DOURADA;11;11
310990 CAETANOPOLIS;124;124
311000 CAETE;452;457
311010 CAIANA;53;61
311020 CAJURI;56;59
311030 CALDAS;107;110
311040 CAMACHO;28;28
311050 CAMANDUCAIA;263;269
311060 CAMBUI;344;351
311070 CAMBUQUIRA;142;142
311080 CAMPANARIO;29;29
311090 CAMPANHA;174;174
311100 CAMPESTRE;207;212
311110 CAMPINA VERDE;159;160
311115 CAMPO AZUL;39;41
311120 CAMPO BELO;562;571
311130 CAMPO DO MEIO;139;141
311140 CAMPO FLORIDO;128;128
311150 CAMPOS ALTOS;165;169
311160 CAMPOS GERAIS;300;304
311170 CANAA;61;63
311180 CANAPOLIS;124;124
311190 CANA VERDE;41;41
311200 CANDEIAS;149;150
311205 CANTAGALO;39;39
311210 CAPARAO;73;81
311220 CAPELA NOVA;38;38
311230 CAPELINHA;560;571
311240 CAPETINGA;66;67
311250 CAPIM BRANCO;98;98
311260 CAPINOPOLIS;152;158
311265 CAPITAO ANDRADE;51;52
311270 CAPITAO ENEAS;174;214
311280 CAPITOLIO;126;128
311290 CAPUTIRA;102;102
311300 CARAI;231;238
311310 CARANAIBA;23;23
311320 CARANDAI;288;290
311330 CARANGOLA;369;371
311340 CARATINGA;1168;1175
311350 CARBONITA;82;85
311360 CAREACU;60;60
311370 CARLOS CHAGAS;207;208
311380 CARMESIA;32;33
311390 CARMO DA CACHOEIRA;135;135
311400 CARMO DA MATA;104;106
311410 CARMO DE MINAS;146;152
311420 CARMO DO CAJURU;278;283
311430 CARMO DO PARANAIBA;317;318
311440 CARMO DO RIO CLARO;193;193
311450 CARMOPOLIS DE MINAS;204;206
311455 CARNEIRINHO;86;86
311460 CARRANCAS;47;47
311470 CARVALHOPOLIS;36;37
311480 CARVALHOS;39;40
311490 CASA GRANDE;21;21
311500 CASCALHO RICO;30;30
311510 CASSIA;219;220
311520 CONCEICAO DA BARRA DE MINAS;28;28
311530 CATAGUASES;650;670
311535 CATAS ALTAS;6;59
311540 CATAS ALTAS DA NORUEGA;38;38
311545 CATUJI;107;107
311547 CATUTI;47;48
311550 CAXAMBU;235;239
311560 CEDRO DO ABAETE;10;10
311570 CENTRAL DE MINAS;80;80
311580 CENTRALINA;97;98
