MUN;Nao;Total
150746 SAO JOAO DA PONTA;81;83
150747 SAO JOAO DE PIRABAS;304;304
150750 SAO JOAO DO ARAGUAIA;218;222
150760 SAO MIGUEL DO GUAMA;888;895
150770 SAO SEBASTIAO DA BOA VISTA;574;576
150775 SAPUCAIA;83;85
150780 SENADOR JOSE PORFIRIO;222;287
150790 SOURE;403;403
150795 TAILANDIA;1415;1422
150796 TERRA ALTA;195;197
150797 TERRA SANTA;303;305
150800 TOME-ACU;1459;1469
150803 TRACUATEUA;394;399
150805 TRAIRAO;246;250
150808 TUCUMA;688;710
150810 TUCURUI;1682;1699
150812 ULIANOPOLIS;405;407
150815 URUARA;754;771
150820 VIGIA;642;655
150830 VISEU;1057;1062
150835 VITORIA DO XINGU;334;355
150840 XINGUARA;842;849
160005 SERRA DO NAVIO;72;94
160010 AMAPA;189;196
160015 PEDRA BRANCA DO AMAPARI;304;330
160020 CALCOENE;197;203
160021 CUTIAS;109;113
160023 FERREIRA GOMES;173;177
160025 ITAUBAL;148;151
160027 LARANJAL DO JARI;728;736
160030 MACAPA;8280;8446
160040 MAZAGAO;346;527
160050 OIAPOQUE;579;592
160053 PORTO GRANDE;358;374
160055 PRACUUBA;93;98
160060 SANTANA;1082;1995
160070 TARTARUGALZINHO;305;337
160080 VITORIA DO JARI;256;264
170025 ABREULANDIA;36;37
170030 AGUIARNOPOLIS;56;56
170035 ALIANCA DO TOCANTINS;68;69
170040 ALMAS;106;106
170070 ALVORADA;133;133
170100 ANANAS;143;145
170105 ANGICO;28;28
170110 APARECIDA DO RIO NEGRO;69;70
170130 ARAGOMINAS;87;87
170190 ARAGUACEMA;78;81
170200 ARAGUACU;97;98
170210 ARAGUAINA;3064;3089
170215 ARAGUANA;82;82
170220 ARAGUATINS;510;512
170230 ARAPOEMA;106;106
170240 ARRAIAS;136;138
170255 AUGUSTINOPOLIS;325;326
170270 AURORA DO TOCANTINS;34;35
170290 AXIXA DO TOCANTINS;170;172
170300 BABACULANDIA;103;104
170305 BANDEIRANTES DO TOCANTINS;56;56
170307 BARRA DO OURO;70;70
170310 BARROLANDIA;59;59
170320 BERNARDO SAYAO;66;67
170330 BOM JESUS DO TOCANTINS;72;72
170360 BRASILANDIA DO TOCANTINS;35;35
170370 BREJINHO DE NAZARE;57;57
170380 BURITI DO TOCANTINS;148;148
170382 CACHOEIRINHA;26;26
170384 CAMPOS LINDOS;153;154
170386 CARIRI DO TOCANTINS;40;41
170388 CARMOLANDIA;42;43
170389 CARRASCO BONITO;72;72
170390 CASEARA;84;84
170410 CENTENARIO;22;22
170460 CHAPADA DE AREIA;17;17
170510 CHAPADA DA NATIVIDADE;31;31
170550 COLINAS DO TOCANTINS;568;572
170555 COMBINADO;59;60
170560 CONCEICAO DO TOCANTINS;53;55
170600 COUTO MAGALHAES;66;66
170610 CRISTALANDIA;82;84
170625 CRIXAS DO TOCANTINS;21;21
170650 DARCINOPOLIS;98;98
170700 DIANOPOLIS;309;313
170710 DIVINOPOLIS DO TOCANTINS;87;89
170720 DOIS IRMAOS DO TOCANTINS;61;63
170730 DUERE;71;73
170740 ESPERANTINA;145;145
170755 FATIMA;46;46
170765 FIGUEIROPOLIS;54;55
170770 FILADELFIA;99;100
170820 FORMOSO DO ARAGUAIA;247;247
170825 FORTALEZA DO TABOCAO;62;62
170830 GOIANORTE;65;65
170900 GOIATINS;230;236
170930 GUARAI;369;370
170950 GURUPI;1276;1283
170980 IPUEIRAS;20;20
171050 ITACAJA;119;122
171070 ITAGUATINS;66;67
